2025-08-29 15:04:53 - INFO -    Ep 001 | train 0.768439 | valid 0.767552 | best 0.767552 (@1)
2025-08-29 15:05:47 - INFO -    Ep 002 | train 0.767800 | valid 0.767465 | best 0.767465 (@2)
2025-08-29 15:06:44 - INFO -    Ep 003 | train 0.767760 | valid 0.767611 | best 0.767465 (@2)
2025-08-29 15:07:43 - INFO -    Ep 004 | train 0.767739 | valid 0.767538 | best 0.767465 (@2)
2025-08-29 15:08:40 - INFO -    Ep 005 | train 0.767729 | valid 0.767479 | best 0.767465 (@2)
2025-08-29 15:09:34 - INFO -    Ep 006 | train 0.767720 | valid 0.767491 | best 0.767465 (@2)
2025-08-29 15:10:26 - INFO -    Ep 007 | train 0.767714 | valid 0.767463 | best 0.767463 (@7)
2025-08-29 15:11:18 - INFO -    Ep 008 | train 0.767703 | valid 0.767509 | best 0.767463 (@7)
2025-08-29 15:12:17 - INFO -    Ep 009 | train 0.767625 | valid 0.767453 | best 0.767453 (@9)
2025-08-29 15:13:14 - INFO -    Ep 010 | train 0.767627 | valid 0.767436 | best 0.767436 (@10)
2025-08-29 15:14:07 - INFO -    Ep 011 | train 0.767622 | valid 0.767470 | best 0.767436 (@10)
2025-08-29 15:15:00 - INFO -    Ep 012 | train 0.767623 | valid 0.767436 | best 0.767436 (@10)
2025-08-29 15:15:50 - INFO -    Ep 013 | train 0.767621 | valid 0.767527 | best 0.767436 (@10)
2025-08-29 15:16:41 - INFO -    Ep 014 | train 0.767623 | valid 0.767431 | best 0.767431 (@14)
2025-08-29 15:17:33 - INFO -    Ep 015 | train 0.767586 | valid 0.767429 | best 0.767429 (@15)
2025-08-29 15:18:25 - INFO -    Ep 016 | train 0.767589 | valid 0.767479 | best 0.767429 (@15)
2025-08-29 15:19:23 - INFO -    Ep 017 | train 0.767587 | valid 0.767447 | best 0.767429 (@15)
2025-08-29 15:20:22 - INFO -    Ep 018 | train 0.767588 | valid 0.767468 | best 0.767429 (@15)
[34m[1mwandb[0m: [33mWARNING[0m Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
2025-08-29 15:21:19 - INFO -    Ep 019 | train 0.767588 | valid 0.767499 | best 0.767429 (@15)
2025-08-29 15:22:18 - INFO -    Ep 020 | train 0.767585 | valid 0.767435 | best 0.767429 (@15)
2025-08-29 15:23:16 - INFO -    Ep 021 | train 0.767567 | valid 0.767425 | best 0.767425 (@21)
